3731	1353	3
6170	127	2
3855	107	4
3882	312	3
5344	489	2
5344	156	2
5344	3	5
5344	211	3
5381	215	2
5381	1351	2
6059	1237	2
6059	47	7
6059	68	2
6059	60	2
1079	1	16
1905	1363	5
560	312	2
6178	312	2
905	61	3
917	398	2
1000	196	2
6179	312	2
1470	295	4
1494	68	2
1494	107	2
1494	108	2
1574	108	3
1905	296	3
1905	13	6
6185	220	2
2789	31	2
2944	112	2
2944	232	3
6187	130	2
6187	433	2
3362	14	5
3362	255	5
3362	65	5
3370	1264	6
6190	781	2
3880	41	2
3880	1309	2
5344	4	2
5381	46	2
1905	163	2
1906	343	2
1924	110	3
2589	479	2
2589	326	2
2693	1387	16
2745	206	2
2745	209	4
6114	1388	3
2172	1389	3
2694	221	2
2745	146	5
2769	6	2
2769	59	2
2769	396	2
6196	434	5
2944	1307	3
3370	248	2
6145	90	2
2589	107	2
2589	68	2
2589	60	2
2895	346	2
6206	349	2
3880	289	6
3720	1390	2
5665	1251	2
1905	325	3
3218	1241	5
2335	1383	3
2126	1273	3
6212	1407	2
2944	1352	2
6212	1414	3
3845	1415	3
3845	1416	3
3845	1417	3
3845	1418	4
3845	1419	3
3845	1420	4
3845	1421	3
3845	1422	3
1592	1342	3
1592	1254	2
1078	1239	2
1078	1423	2
6214	1227	2
6215	1320	2
3845	399	2
1905	1364	4
2769	1307	3
3370	346	2
1050	130	2
3010	1371	2
1440	1440	2
2781	227	2
6223	183	3
1067	1441	3
3845	130	2
1086	1354	2
6230	1449	2
2227	1293	2
3218	1220	2
1470	1338	2
2241	1374	3
2944	1238	2
542	1464	3
6240	1362	2
1587	1470	2
2129	1429	2
3119	1473	4
6250	1478	2
6059	1352	3
2781	1358	2
3880	1315	2
5344	1486	2
3880	1261	3
3824	136	2
6257	1333	2
947	59	2
6260	1261	2
6261	519	2
6262	1492	2
527	1494	2
5370	1273	2
6267	1317	2
2944	1229	5
1470	1500	5
3880	6	2
6268	1501	4
6271	1437	2
2944	1306	4
1470	222	2
3263	1351	2
6274	760	3
6274	325	3
6274	1505	3
6275	195	2
3218	1506	2
2167	133	2
2292	1508	2
2295	1275	2
2944	1376	2
3712	1451	2
2944	384	2
5381	272	4
6279	1515	2
3880	1516	2
3731	1519	2
3880	1520	2
5381	1333	2
2770	1325	2
2669	1522	2
6281	1292	3
2769	1524	2
3259	1525	2
3710	1239	5
5381	1261	3
2421	1529	3
2745	1530	3
923	486	2
1470	114	5
6282	1533	2
6283	260	2
6284	1534	2
1562	1343	2
6059	447	2
6285	1535	2
3706	535	2
3710	96	2
6286	1536	2
1574	3	2
1905	111	2
2234	948	2
1592	1441	2
2292	1537	6
6287	62	4
6288	1376	2
2164	1501	2
2945	352	2
3710	1457	2
6289	1366	2
1470	257	2
2745	1538	2
6290	1397	2
1470	1540	2
6291	1541	2
2745	1542	2
2762	1543	2
2944	13	2
3010	1544	2
3263	1220	2
5346	1241	2
6292	1545	2
6292	1546	2
2944	1310	2
2829	1537	3
5344	1217	2
2192	1462	3
1470	1506	2
2260	1564	2
3276	296	2
3709	1332	3
5381	1373	2
926	582	2
3816	1461	2
538	1350	5
1470	1509	7
6318	384	2
2806	1306	2
2134	1408	2
6325	1544	2
2101	1554	2
1592	1218	2
915	1597	2
1412	1544	2
977	1376	2
1050	1290	2
2745	106	2
6344	522	3
6345	297	4
2324	1242	4
2944	341	2
3352	369	3
3708	489	2
3711	1432	2
5381	1628	2
5381	225	2
5381	1367	2
5381	1260	2
5344	760	2
3712	1506	2
3383	238	4
3383	402	4
6361	1248	2
3370	1380	2
3010	205	2
2944	1283	2
2944	151	3
2944	1628	2
6370	1390	2
2769	1296	8
6374	1646	2
6374	154	2
6374	1647	2
6374	1648	2
6377	1275	2
2190	1627	2
2101	1390	2
1592	248	2
1422	1462	2
6263	1255	2
946	1220	2
6393	1306	2
538	514	2
538	1354	2
538	1462	2
839	1433	2
904	45	2
905	1353	2
911	1673	2
947	469	2
6222	1602	2
1078	1259	3
1081	267	2
6409	1684	2
1416	189	2
1440	408	2
1470	1367	2
1574	1333	2
1587	1695	2
1587	1369	2
6240	1584	2
1592	1450	2
1594	1441	2
2099	1529	2
2101	1700	2
6423	1241	2
6217	1309	2
2227	1441	2
2264	1254	2
2282	1437	2
2284	819	4
2293	1708	2
2295	1294	2
6381	1374	2
2460	1292	2
6440	447	2
6444	57	2
2707	1321	2
2745	1274	6
2745	177	3
2745	1290	2
2745	1242	2
2745	1310	2
2745	54	2
2745	1353	3
2769	1578	2
2769	1718	2
2769	1256	4
2781	1244	2
2781	297	6
2889	108	2
2944	1583	2
2944	1570	2
3130	347	2
3218	69	2
3218	1323	4
6277	1353	2
3370	1519	2
3370	137	2
3370	1255	3
3370	1261	3
3706	1565	2
3707	127	2
3708	1428	2
3708	1153	2
3715	1251	2
3718	1310	3
3719	206	2
3719	146	2
3721	1	2
3721	69	2
3750	1556	2
3752	1256	2
6460	1728	2
3845	1590	2
3845	1220	2
3880	1260	5
3880	267	2
3880	195	2
5381	1462	2
5381	1239	2
5381	6	2
5381	1450	2
5381	1230	2
6059	1690	2
6469	1730	2
6470	704	2
6472	1737	2
1099	1524	3
1117	159	2
1421	1284	2
6475	1248	2
1470	1220	2
1574	1447	3
6265	1028	2
6265	1453	2
2797	478	2
2944	1506	2
3010	1554	2
3010	1751	2
3256	1290	2
6485	191	3
3706	1755	2
3711	1334	2
3722	1347	2
3722	752	2
3722	808	2
3864	1378	3
5380	1627	3
6059	1530	2
2309	1698	2
5381	1263	5
1574	1372	2
2148	1583	2
5381	1256	2
5381	1218	2
6496	1763	2
1598	349	4
1910	1695	2
2101	1765	4
6497	1320	2
2228	889	2
2460	227	2
6498	1584	2
2769	1766	6
2769	1767	6
3292	1506	2
6218	1497	2
3875	1434	2
5381	1317	2
2769	1373	2
3731	1217	2
3729	1470	2
3880	1768	2
6055	1780	2
3712	1029	3
3370	1362	3
2769	843	3
2944	178	2
919	68	2
2707	1379	2
6517	1319	2
6517	1720	2
6517	1791	2
3710	1294	2
6519	1506	2
3218	1243	2
3880	303	2
3218	5	2
6526	114	2
6529	1543	2
2195	1326	3
1053	1353	2
3218	1747	2
